#collection points
C01 915 800 | P16,S03
C02 800 1200 | P04,P06
C03 1100 1200 | P07,P30

#stations
S03 990 800 | C01,P17
S02 1100 800 | P17,P18
S04 800 800 | P15,P16
S05 750 850 | P14,P01
S06 750 950 | P01,P02
S07 750 1100 | P02,P03
S08 855 1150 | P05,P08
S12 940 900 | P12,P21
S13 1150 850 | P21,P18
S15 1200 1000 | P23,P22
S01 1050 850 | P17,P25
S11 950 1050 | P09,P06
S10 1100 1100 | P28,P29
S09 1050 1150 | P28,P07
S14 1250 900 | P22,P20

#navigation points
P17 1050 800 | S03,S02,S01
P18 1150 800 | S02,S13,P19
P19 1235 800 | P20,P18
P16 850 800 | S04,C01,P13
P15 760 800 | P14,S04
P14 750 815 | P15,S05
P01 750 900 | S05,S06,P10
P02 750 1000 | P09,S06,S07
P03 750 1185 | S07,P04
P04 765 1200 | P03,C02
P05 850 1200 | S08,C02,P06
P06 950 1200 | P05,P07,S11
P07 1050 1200 | P06,C03,S09
P30 1150 1200 | C03,P31
P31 1230 1200 | P30,P32
P32 1250 1180 | P31,P29
P29 1250 1100 | P32,S10,P22
P22 1250 1000 | S15,P29,S14
P20 1250 820 | P19,S14
P13 850 860 | P16,P10,P12
P12 885 900 | P13,S12,P11
P11 850 935 | P10,P12,P08
P10 815 900 | P11,P13,P01
P08 850 1100 | P28,S08,P11
P21 1150 900 | S13,S12,P13
P23 1150 1000 | S15,P24,P30,P21
P25 1050 965 | S01,P26,P24
P24 1090 1000 | P25,P27,P23
P27 1050 1040 | P26,P24,P28
P26 1015 1000 | P09,P27,P25
P09 950 1000 | S11,P02,P26
P28 1050 1100 | S09,S10,P08,P27	
